
Year	Western champion	Coach	Result	Eastern champion	Coach	Finals MVP[a]	Reference
2023	Denver Nuggets (1) (1, 1–0)	Michael Malone	4–1	Miami Heat (8) (7, 3–4)	Erik Spoelstra	Nikola Jokić	[103]
2022	Golden State Warriors (3) (12, 7–5)	Steve Kerr	4–2	Boston Celtics (2) (22, 17–5)	Ime Udoka	Stephen Curry	[102]
2021	Phoenix Suns (2) (3, 0–3)	Monty Williams	2–4	Milwaukee Bucks (3) (3, 2–1)	Mike Budenholzer	Giannis Antetokounmpo	[101]
2020[h]	Los Angeles Lakers (1) (32, 17–15)	Frank Vogel	4–2	Miami Heat (5) (6, 3–3)	Erik Spoelstra	LeBron James	[100]
2019	Golden State Warriors (1) (11, 6–5)	Steve Kerr	2–4	Toronto Raptors (2) (1, 1–0)	Nick Nurse	Kawhi Leonard	[98]
2018	Golden State Warriors (2) (10, 6–4)	Steve Kerr	4–0	Cleveland Cavaliers (4) (5, 1–4)	Tyronn Lue	Kevin Durant	[97]
2017	Golden State Warriors (1) (9, 5–4)	Steve Kerr	4–1	Cleveland Cavaliers (2) (4, 1–3)	Tyronn Lue	Kevin Durant	[96]
2016	Golden State Warriors (1) (8, 4–4)	Steve Kerr	3–4	Cleveland Cavaliers (1) (3, 1–2)	Tyronn Lue	LeBron James	[95]
2015	Golden State Warriors (1) (7, 4–3)	Steve Kerr	4–2	Cleveland Cavaliers (2) (2, 0–2)	David Blatt	Andre Iguodala	[94]
2014	San Antonio Spurs (1) (6, 5–1)	Gregg Popovich	4–1	Miami Heat (2) (5, 3–2)	Erik Spoelstra	Kawhi Leonard	[93]
2013	San Antonio Spurs (2) (5, 4–1)	Gregg Popovich	3–4	Miami Heat (1) (4, 3–1)	Erik Spoelstra	LeBron James	[92]
2012[g]	Oklahoma City Thunder (2) (4, 1–3)	Scott Brooks	1–4	Miami Heat (2) (3, 2–1)	Erik Spoelstra	LeBron James	[91]
2011	Dallas Mavericks (3) (2, 1–1)	Rick Carlisle	4–2	Miami Heat (2) (2, 1–1)	Erik Spoelstra	Dirk Nowitzki	[88]
2010	Los Angeles Lakers (1) (31, 16–15)	Phil Jackson	4–3	Boston Celtics (4) (21, 17–4)	Doc Rivers	Kobe Bryant	[87]
2009	Los Angeles Lakers (1) (30, 15–15)	Phil Jackson	4–1	Orlando Magic (3) (2, 0–2)	Stan Van Gundy	Kobe Bryant	[86]
2008	Los Angeles Lakers (1) (29, 14–15)	Phil Jackson	2–4	Boston Celtics (1) (20, 17–3)	Doc Rivers	Paul Pierce	[85]
2007	San Antonio Spurs (3) (4, 4–0)	Gregg Popovich	4–0	Cleveland Cavaliers (2) (1, 0–1)	Mike Brown	Tony Parker	[84]
2006	Dallas Mavericks (4) (1, 0–1)	Avery Johnson	2–4	Miami Heat (2) (1, 1–0)	Pat Riley	Dwyane Wade	[83]
2005	San Antonio Spurs (2) (3, 3–0)	Gregg Popovich	4–3	Detroit Pistons (2) (7, 3–4)	Larry Brown	Tim Duncan	[82]
2004	Los Angeles Lakers (2) (28, 14–14)	Phil Jackson	1–4	Detroit Pistons (3) (6, 3–3)	Larry Brown	Chauncey Billups	[81]
2003	San Antonio Spurs (1) (2, 2–0)	Gregg Popovich	4–2	New Jersey Nets (2) (2, 0–2)	Byron Scott	Tim Duncan	[80]
2002	Los Angeles Lakers (3) (27, 14–13)	Phil Jackson	4–0	New Jersey Nets (1) (1, 0–1)	Byron Scott	Shaquille O'Neal	[79]
2001	Los Angeles Lakers (2) (26, 13–13)	Phil Jackson	4–1	Philadelphia 76ers (1) (9, 3–6)	Larry Brown	Shaquille O'Neal	[78]
2000	Los Angeles Lakers (1) (25, 12–13)	Phil Jackson	4–2	Indiana Pacers (1) (1, 0–1)	Larry Bird	Shaquille O'Neal	[77]
